,id_eq,FCAO,SiO2,Al2O3,Fe2O3,CaO,MgO,SO3,K2O,Na2O,C3S,C2S,C3A,C4AF,A/S," ""CaO""  [CurrentProduct.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"
508,Man_CLK461,1.14,21.3,5.04,2.39,67.06,2.9,1.25,0.5,0.44,69.2039,5.3585527040000045,9.31212,7.27277,0.7946190803019904,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
511,Aus_CLK463,1.77,21.01,5.02,2.37,66.39,2.91,1.63,0.58,0.46,66.27855999999998,4.799166888000023,9.292959999999999,7.2119100000000005,0.6669726431738466,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
518,Man_CLK462,1.79,21.1,5.1,2.4,67.0,2.88,1.45,0.51,0.46,67.41610999999996,4.137605920000013,9.4542,7.3032,0.7086834070953542,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
519,Aus_CLK463,2.14,21.01,5.0,2.36,66.69,2.92,1.54,0.55,0.45,66.14224999999993,3.7656690640000363,9.25688,7.18148,0.6809936803073385,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
522,Aus_CLK463,1.89,21.02,4.99,2.36,66.6,2.92,1.49,0.54,0.45,66.78478999999999,4.077397488000017,9.23038,7.18148,0.6981339794465967,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
523,Aus_CLK463,1.74,21.17,4.96,2.35,66.84,2.87,1.52,0.53,0.43,67.44832000000002,4.4675548160000105,9.1678,7.151050000000001,0.6617779864899036,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
525,Man_CLK462,1.41,21.22,5.07,2.38,66.67,2.85,1.48,0.54,0.46,66.93779999999998,6.009524696,9.408540000000002,7.24234,0.7115694967445139,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
526,Aus_CLK463,2.0,21.11,4.94,2.33,66.88,2.86,1.48,0.54,0.41,67.17165999999997,3.70574489600002,9.14864,7.090190000000001,0.667977517668664,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
527,Aus_CLK463,2.32,20.91,4.89,2.33,67.05,2.88,1.52,0.54,0.41,68.41690999999999,1.2101563280000462,9.01614,7.090190000000001,0.6503991619405411,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
529,Man_CLK462,1.42,21.12,5.05,2.37,66.87,2.93,1.49,0.54,0.39,68.61995000000002,7.4942615120000085,9.372459999999998,7.2119100000000005,0.646174680897127,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
530,Aus_CLK463,2.49,20.92,4.94,2.32,67.2,2.88,1.51,0.54,0.45,67.93789,1.0781014080000446,9.165560000000001,7.05976,0.6888871717718074,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
531,Man_CLK461,1.7,21.36,5.1,2.38,66.76,2.92,1.3,0.55,0.41,64.85806000000002,7.089223455999978,9.488039999999998,7.24234,0.7670133572673037,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
532,Man_CLK462,1.35,21.2,5.06,2.38,66.6,2.95,1.48,0.55,0.46,67.11627000000001,6.001816672000018,9.38204,7.24234,0.7173199280268602,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
533,Aus_CLK463,1.95,20.88,4.86,2.32,67.24,2.85,1.53,0.53,0.43,71.14050999999995,0.20579257600004297,8.95356,7.05976,0.6574526401729761,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
536,Aus_CLK463,1.98,21.02,4.9,2.32,67.06,2.87,1.56,0.53,0.46,68.95288000000001,2.1653857759999795,9.059560000000001,7.05976,0.6696232159512874,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
537,Aus_CLK463,1.95,21.02,4.84,2.32,67.0,2.9,1.6,0.54,0.46,69.23382999999998,2.045571967999976,8.900559999999999,7.05976,0.6582017844886753,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
540,Man_CLK462,1.89,21.1,5.05,2.34,67.37,2.92,1.6,0.56,0.44,68.93697999999998,2.6831453520000323,9.423219999999999,7.12062,0.6527110501029513,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
544,Man_CLK461,1.51,21.24,4.99,2.35,67.28,2.87,1.31,0.65,0.42,69.44235,3.870315935999969,9.2473,7.151050000000001,0.8359747887272289,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
546,Man_CLK461,1.81,21.37,5.07,2.37,66.75,2.89,1.51,0.62,0.46,64.50937999999995,7.043109784000038,9.425460000000001,7.2119100000000005,0.7425218288509002,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
547,Man_CLK462,1.69,20.99,4.94,2.32,67.44,2.92,1.53,0.53,0.45,71.63973000000003,0.943053232000004,9.165560000000001,7.05976,0.674319602011475,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
549,Man_CLK461,1.94,21.18,5.0,2.37,67.15,2.93,1.33,0.5,0.42,67.52281000000004,3.8257970799999725,9.23996,7.2119100000000005,0.7274190968154772,41.95361,14.30713,3.19669,1.51479,2.58262,1.0585410098643235,1.0215571909546086,0.28259035228335894,0.19599795162006434,0.5211321641788066
554,Man_CLK462,1.7,20.95,5.05,2.38,67.17,3.0,1.45,0.51,0.46,69.97907,2.050463511999993,9.355539999999998,7.24234,0.7086834070953542,41.95361,14.30713,3.19669,1.51479,2.58262,1.0585410098643235,1.0215571909546086,0.28259035228335894,0.19599795162006434,0.5211321641788066
561,Aus_CLK463,1.96,21.02,4.92,2.33,67.0,2.71,1.56,0.52,0.44,68.64138000000004,2.4618046239999885,9.09564,7.090190000000001,0.6476250813930979,41.95361,14.30713,3.19669,1.51479,2.58262,1.0585410098643235,1.0215571909546086,0.28259035228335894,0.19599795162006434,0.5211321641788066
564,Aus_CLK463,1.89,20.94,4.93,2.3,66.88,2.71,1.57,0.54,0.45,69.02154999999995,2.1606257440000505,9.172899999999998,6.9989,0.6625602734875344,41.95361,14.30713,3.19669,1.51479,2.58262,1.0585410098643235,1.0215571909546086,0.28259035228335894,0.19599795162006434,0.5211321641788066
565,Aus_CLK463,1.69,20.93,4.96,2.33,67.21,2.89,1.55,0.55,0.46,71.01073999999996,1.2455432880000217,9.201640000000001,7.090190000000001,0.6849248345030665,41.95361,14.30713,3.19669,1.51479,2.58262,1.0585410098643235,1.0215571909546086,0.28259035228335894,0.19599795162006434,0.5211321641788066
566,Man_CLK461,1.52,21.34,4.99,2.37,66.88,2.91,1.3,0.52,0.42,66.98464,5.980400736000028,9.21346,7.2119100000000005,0.7572989810464071,41.95361,14.30713,3.19669,1.51479,2.58262,1.0585410098643235,1.0215571909546086,0.28259035228335894,0.19599795162006434,0.5211321641788066
568,Aus_CLK463,1.89,21.11,4.94,2.31,67.05,2.76,1.54,0.51,0.45,68.34013999999999,3.162071448000013,9.182480000000002,7.029330000000001,0.6588881262868909,41.95361,14.30713,3.19669,1.51479,2.58262,1.0585410098643235,1.0215571909546086,0.28259035228335894,0.19599795162006434,0.5211321641788066
569,Aus_CLK463,1.88,21.01,4.96,2.32,67.25,2.77,1.59,0.52,0.46,69.80638999999996,1.7999440720000308,9.21856,7.05976,0.6516362129472553,41.95361,14.30713,3.19669,1.51479,2.58262,1.0585410098643235,1.0215571909546086,0.28259035228335894,0.19599795162006434,0.5211321641788066
